x: 1.31934	y: 4.10954
x: 4.05242	y: 4.08629
x: 3.24894	y: 4.86559
x: 0.969385	y: 2.4481
x: 0.182998	y: 0.646154
x: 4.90802	y: 4.10111
x: 2.31969	y: 2.09662
x: 2.8819	y: 1.0905
x: 3.09606	y: 0.409003
x: 4.11942	y: 0.0149667
x: 1.54503	y: 2.24506
x: 2.7571	y: 3.58836
x: 4.61133	y: 2.61481
x: 2.13159	y: 0.599773
x: 0.387555	y: 3.63403
x: 2.13949	y: 3.38681
x: 2.05462	y: 2.00569
x: 4.64078	y: 2.65243
x: 4.36456	y: 0.132048
x: 4.3233	y: 1.63762
x: 3.54669	y: 4.15003
x: 4.52995	y: 4.89828
x: 0.408603	y: 2.39641
x: 1.4242	y: 1.46115
x: 2.60874	y: 0.0448187
