x: 1.31934	y: 4.10954		magnitude: 4.31613
x: 4.05242	y: 4.08629		magnitude: 5.75499
x: 3.24894	y: 4.86559		magnitude: 5.8506
x: 0.969385	y: 2.4481		magnitude: 2.63304
x: 0.182998	y: 0.646154		magnitude: 0.671568
x: 4.90802	y: 4.10111		magnitude: 6.39592
x: 2.31969	y: 2.09662		magnitude: 3.12678
x: 2.8819	y: 1.0905		magnitude: 3.08132
x: 3.09606	y: 0.409003		magnitude: 3.12296
x: 4.11942	y: 0.0149667		magnitude: 4.11945
x: 1.54503	y: 2.24506		magnitude: 2.72533
x: 2.7571	y: 3.58836		magnitude: 4.52525
x: 4.61133	y: 2.61481		magnitude: 5.30109
x: 2.13159	y: 0.599773		magnitude: 2.21436
x: 0.387555	y: 3.63403		magnitude: 3.65464
x: 2.13949	y: 3.38681		magnitude: 4.00598
x: 2.05462	y: 2.00569		magnitude: 2.87128
x: 4.64078	y: 2.65243		magnitude: 5.3453
x: 4.36456	y: 0.132048		magnitude: 4.36656
x: 4.3233	y: 1.63762		magnitude: 4.62306
x: 3.54669	y: 4.15003		magnitude: 5.4591
x: 4.52995	y: 4.89828		magnitude: 6.67185
x: 0.408603	y: 2.39641		magnitude: 2.43099
x: 1.4242	y: 1.46115		magnitude: 2.04042
x: 2.60874	y: 0.0448187		magnitude: 2.60913
